,0,1,2,nombre,fecha,lat,lon
99,IIL_A76F,20230818140000,-51.3165,-37.2294
100,IIL_A76F,20230818150000,-51.3146,-37.2298
101,IIL_A76F,20230818160000,-51.3127,-37.2305
102,IIL_A76F,20230818170000,-51.3109,-37.2317
103,IIL_A76F,20230818180000,-51.3092,-37.2332
104,IIL_A76F,20230818190000,-51.3076,-37.2352
105,IIL_A76F,20230818200000,-51.3062,-37.2374
106,IIL_A76F,20230818210000,-51.3050,-37.2398
107,IIL_A76F,20230818220000,-51.3040,-37.2424
108,IIL_A76F,20230818230000,-51.3034,-37.2451
109,IIL_A76F,20230819000000,-51.3029,-37.2476
110,IIL_A76F,20230819010000,-51.3028,-37.2501
111,IIL_A76F,20230819020000,-51.3029,-37.2523
112,IIL_A76F,20230819030000,-51.3032,-37.2541
113,IIL_A76F,20230819040000,-51.3037,-37.2555
114,IIL_A76F,20230819050000,-51.3044,-37.2561
115,IIL_A76F,20230819060000,-51.3050,-37.2560
116,IIL_A76F,20230819070000,-51.3054,-37.2551
117,IIL_A76F,20230819080000,-51.3056,-37.2538
118,IIL_A76F,20230819090000,-51.3056,-37.2520
119,IIL_A76F,20230819100000,-51.3052,-37.2501
120,IIL_A76F,20230819110000,-51.3046,-37.2481
121,IIL_A76F,20230819120000,-51.3036,-37.2462
122,IIL_A76F,20230819130000,-51.3023,-37.2446
123,IIL_A76F,20230819140000,-51.3007,-37.2434
124,IIL_A76F,20230819150000,-51.2990,-37.2426
125,IIL_A76F,20230819160000,-51.2972,-37.2422
126,IIL_A76F,20230819170000,-51.2954,-37.2422
127,IIL_A76F,20230819180000,-51.2938,-37.2427
128,IIL_A76F,20230819190000,-51.2923,-37.2435
129,IIL_A76F,20230819200000,-51.2911,-37.2446
130,IIL_A76F,20230819210000,-51.2901,-37.2459
131,IIL_A76F,20230819220000,-51.2895,-37.2473
132,IIL_A76F,20230819230000,-51.2892,-37.2486
133,IIL_A76F,20230820000000,-51.2893,-37.2498
134,IIL_A76F,20230820010000,-51.2897,-37.2506
135,IIL_A76F,20230820020000,-51.2903,-37.2509
136,IIL_A76F,20230820030000,-51.2911,-37.2505
137,IIL_A76F,20230820040000,-51.2919,-37.2495
138,IIL_A76F,20230820050000,-51.2925,-37.2480
139,IIL_A76F,20230820060000,-51.2929,-37.2462
140,IIL_A76F,20230820070000,-51.2930,-37.2442
141,IIL_A76F,20230820080000,-51.2930,-37.2420
142,IIL_A76F,20230820090000,-51.2926,-37.2399
143,IIL_A76F,20230820100000,-51.2921,-37.2378
144,IIL_A76F,20230820110000,-51.2914,-37.2360
145,IIL_A76F,20230820120000,-51.2905,-37.2344
146,IIL_A76F,20230820130000,-51.2895,-37.2332
147,IIL_A76F,20230820140000,-51.2885,-37.2324
148,IIL_A76F,20230820150000,-51.2875,-37.2320
149,IIL_A76F,20230820160000,-51.2867,-37.2321
150,IIL_A76F,20230820170000,-51.2860,-37.2327
151,IIL_A76F,20230820180000,-51.2857,-37.2336
152,IIL_A76F,20230820190000,-51.2857,-37.2347
153,IIL_A76F,20230820200000,-51.2861,-37.2357
154,IIL_A76F,20230820210000,-51.2868,-37.2367
155,IIL_A76F,20230820220000,-51.2878,-37.2373
156,IIL_A76F,20230820230000,-51.2890,-37.2376
157,IIL_A76F,20230821000000,-51.2903,-37.2375
158,IIL_A76F,20230821010000,-51.2917,-37.2369
159,IIL_A76F,20230821020000,-51.2931,-37.2359
160,IIL_A76F,20230821030000,-51.2945,-37.2346
161,IIL_A76F,20230821040000,-51.2958,-37.2328
162,IIL_A76F,20230821050000,-51.2971,-37.2307
163,IIL_A76F,20230821060000,-51.2982,-37.2283
164,IIL_A76F,20230821070000,-51.2991,-37.2258
165,IIL_A76F,20230821080000,-51.2999,-37.2231
166,IIL_A76F,20230821090000,-51.3006,-37.2204
167,IIL_A76F,20230821100000,-51.3011,-37.2176
168,IIL_A76F,20230821110000,-51.3014,-37.2150
169,IIL_A76F,20230821120000,-51.3017,-37.2124
170,IIL_A76F,20230821130000,-51.3018,-37.2101
171,IIL_A76F,20230821140000,-51.3019,-37.2079
172,IIL_A76F,20230821150000,-51.3019,-37.2061
173,IIL_A76F,20230821160000,-51.3019,-37.2045
174,IIL_A76F,20230821170000,-51.3021,-37.2033
175,IIL_A76F,20230821180000,-51.3024,-37.2024
176,IIL_A76F,20230821190000,-51.3029,-37.2019
177,IIL_A76F,20230821200000,-51.3038,-37.2017
178,IIL_A76F,20230821210000,-51.3049,-37.2016
179,IIL_A76F,20230821220000,-51.3062,-37.2017
180,IIL_A76F,20230821230000,-51.3077,-37.2017
181,IIL_A76F,20230822000000,-51.3095,-37.2017
182,IIL_A76F,20230822010000,-51.3115,-37.2017
183,IIL_A76F,20230822020000,-51.3137,-37.2015
184,IIL_A76F,20230822030000,-51.3160,-37.2011
