IIL_A76A,20230818120000,-51.45,-38.19
IIL_A76A,20230818130000,-51.4483,-38.1887
IIL_A76A,20230818140000,-51.4466,-38.188
IIL_A76A,20230818150000,-51.4448,-38.1876
IIL_A76A,20230818160000,-51.443,-38.1878
IIL_A76A,20230818170000,-51.4414,-38.1885
IIL_A76A,20230818180000,-51.4399,-38.1896
IIL_A76A,20230818190000,-51.4387,-38.1912
IIL_A76A,20230818200000,-51.4378,-38.193
IIL_A76A,20230818210000,-51.4373,-38.195
IIL_A76A,20230818220000,-51.4371,-38.197
IIL_A76A,20230818230000,-51.4374,-38.1988
IIL_A76A,20230819000000,-51.4381,-38.2003
IIL_A76A,20230819010000,-51.4391,-38.2012
IIL_A76A,20230819020000,-51.4403,-38.2015
IIL_A76A,20230819030000,-51.4415,-38.2012
IIL_A76A,20230819040000,-51.4427,-38.2002
IIL_A76A,20230819050000,-51.4438,-38.1987
IIL_A76A,20230819060000,-51.4446,-38.1967
IIL_A76A,20230819070000,-51.4452,-38.1944
IIL_A76A,20230819080000,-51.4455,-38.1918
IIL_A76A,20230819090000,-51.4455,-38.1891
IIL_A76A,20230819100000,-51.4452,-38.1865
IIL_A76A,20230819110000,-51.4446,-38.1841
IIL_A76A,20230819120000,-51.4438,-38.1819
IIL_A76A,20230819130000,-51.4427,-38.1802
IIL_A76A,20230819140000,-51.4415,-38.1788
IIL_A76A,20230819150000,-51.4402,-38.1779
IIL_A76A,20230819160000,-51.439,-38.1775
IIL_A76A,20230819170000,-51.4379,-38.1775
IIL_A76A,20230819180000,-51.4371,-38.1779
IIL_A76A,20230819190000,-51.4367,-38.1787
IIL_A76A,20230819200000,-51.4368,-38.1795
IIL_A76A,20230819210000,-51.4373,-38.1801
IIL_A76A,20230819220000,-51.4381,-38.1803
IIL_A76A,20230819230000,-51.4392,-38.18
IIL_A76A,20230820000000,-51.4404,-38.1792
IIL_A76A,20230820010000,-51.4417,-38.178
IIL_A76A,20230820020000,-51.443,-38.1763
IIL_A76A,20230820030000,-51.4442,-38.1743
IIL_A76A,20230820040000,-51.4453,-38.172
IIL_A76A,20230820050000,-51.4463,-38.1695
IIL_A76A,20230820060000,-51.4472,-38.1669
IIL_A76A,20230820070000,-51.4479,-38.1641
IIL_A76A,20230820080000,-51.4484,-38.1612
IIL_A76A,20230820090000,-51.4488,-38.1584
IIL_A76A,20230820100000,-51.449,-38.1556
IIL_A76A,20230820110000,-51.4491,-38.1529
IIL_A76A,20230820120000,-51.449,-38.1503
IIL_A76A,20230820130000,-51.4489,-38.1479
